day,date,time,url,session
Thursday,15/09/2022,12:00,https://20220915-MDC-Step1.eventbrite.co.uk,Step 1
Tuesday,01/11/2022,12:00,https://20221101-MDC-Step1.eventbrite.co.uk,Step 1
Tuesday,20/09/2022,14:00,https://20220920-MDCF-Step1.eventbrite.co.uk,Step 1 for Finance
Tuesday,08/11/2022,14:00,https://20221108-MDCF-Step1.eventbrite.co.uk,Step 1 for Finance
Wednesday,21/09/2022,12:00,https://20220921-MDC-Step2.eventbrite.co.uk,Step 2
Wednesday,09/11/2022,11:00,https://20221109-MDC-Step2.eventbrite.co.uk,Step 2
Wednesday,28/09/2022,11:00,https://20220928-MDC-Step3.eventbrite.co.uk,Step 3
Tuesday,15/11/2022,13:00,https://20221115-MDC-Step3.eventbrite.co.uk,Step 3
Tuesday,04/10/2022,13:00,https://20221004-MDC-Step4.eventbrite.co.uk,Step 4
Wednesday,23/11/2022,12:00,https://20221123-MDC-Step4.eventbrite.co.uk,Step 4
Wednesday,12/10/2022,12:00,https://20221012-MDC-Step5.eventbrite.co.uk,Step 5
Thursday,01/12/2022,12:00,https://20221201-MDC-Step5.eventbrite.co.uk,Step 5
Thursday,20/10/2022,11:00,https://20221020-MDC-Step6.eventbrite.co.uk,Step 6
Tuesday,06/12/2022,13:00,https://20221206-MDC-Step6.eventbrite.co.uk,Step 6
Wednesday,26/10/2022,11:00,https://20221026-MDC-Step7.eventbrite.co.uk,Step 7
Thursday,15/12/2022,13:00,https://20221215-MDC-Step7.eventbrite.co.uk,Step 7
